sample_idx,is_outlier,iforest_score,label,abs_label,text_std,audio_std,vision_std,text_jump,audio_jump,vision_jump
0,0,0.0012257507540559,1.0,1.0,1.4097109,1.3629061,1.1463451,1.5752394,0.67882174,0.2111087
1,0,0.1560534104910255,0.6666667,0.6666667,0.917381,1.0667967,0.8989051,0.639252,0.3174026,0.11078385
2,0,0.0463944368128865,0.0,0.0,1.3109014,1.2556392,1.107387,1.3934641,0.60008466,0.22525705
3,0,0.1486714600345146,0.0,0.0,1.0081632,0.98378575,0.9015297,0.7849133,0.35315606,0.13671838
4,0,0.021550169013542,1.0,1.0,1.3605,1.300571,1.1317346,1.547212,0.689587,0.25351647
5,0,0.1460487227068923,0.6666667,0.6666667,1.0575136,1.1841564,0.92179817,0.8543851,0.39251477,0.1654239
6,0,0.0933347362265386,0.33333334,0.33333334,1.4269068,1.0763059,1.4336393,1.3103176,0.5144891,0.29695567
7,0,0.155480884362437,1.0,1.0,0.96085244,0.8210397,1.2370322,0.67192256,0.28069788,0.21409604
8,0,0.1339997601015252,0.0,0.0,0.9741587,0.8755818,0.89712733,0.6961543,0.30498403,0.14707609
9,0,0.1576823687776767,-0.6666667,0.6666667,0.9980089,0.76494044,0.51058465,0.7231532,0.26331574,0.1461201
10,0,0.1695316398987027,0.0,0.0,0.6138661,0.5900937,0.67102414,0.2343743,0.08220384,0.05449352
11,0,0.1674905646285575,0.33333334,0.33333334,0.9785954,0.8984041,0.39416227,0.5937237,0.249484,0.093589626
12,0,0.1752919792068155,0.0,0.0,0.68460417,0.6716337,0.48321927,0.31241226,0.12227409,0.070551485
13,0,0.1738980307274562,-1.0,1.0,0.8506579,0.65524566,0.33860138,0.46292692,0.14422837,0.019430876
14,0,0.1592561613837796,-2.0,2.0,0.92778295,0.8596966,0.36068493,0.5406209,0.2717122,0.065555476
15,0,0.1651969098017763,0.6666667,0.6666667,0.9862996,0.79307324,0.50305325,0.7098541,0.2851693,0.09536899
16,0,0.170017255964771,0.0,0.0,0.77282774,0.661294,0.35383505,0.4089769,0.14645238,0.042561073
17,0,0.133280011697969,-0.33333334,0.33333334,1.0021611,0.8886053,0.54209673,0.8463084,0.3429957,0.1580556
18,0,0.1611723531001986,-1.6666666,1.6666666,0.94502157,0.82549906,0.63206786,0.73410875,0.2959928,0.17299685
19,0,0.1563445230399228,0.33333334,0.33333334,0.9090009,1.003276,0.33738235,0.5941366,0.20586514,0.033288773
20,0,0.1228188829509533,0.33333334,0.33333334,1.2321604,0.78725463,0.8654716,1.0343385,0.27515736,0.21842697
21,0,0.148754171985244,0.0,0.0,0.98732996,0.94779617,0.34318388,0.7656873,0.3218213,0.041358355
22,0,0.1653286773475773,0.0,0.0,0.7936105,1.0988076,0.32956067,0.44343033,0.15429415,0.0
23,0,0.1653173660298014,2.3333333,2.3333333,0.90275383,0.7901181,0.48654315,0.64357,0.26037163,0.120497875
24,0,0.076244334126658,-0.33333334,0.33333334,1.2155617,1.0182024,0.6973842,1.2310305,0.50987077,0.25446004
25,0,0.000833592803231,2.0,2.0,1.2859621,1.0435112,0.73607045,1.4381295,0.6259776,0.2802933
26,0,0.0980712051779987,1.6666666,1.6666666,1.1699938,0.9893807,0.6226477,1.1047643,0.4508617,0.19378479
27,0,0.1006989729951285,1.6666666,1.6666666,1.2574139,0.9264868,0.6053288,1.2443155,0.44458812,0.18480235
28,0,0.1737716430532928,1.3333334,1.3333334,0.7713259,0.70126206,0.47081748,0.41836852,0.17313834,0.06130155
29,0,0.1347569480499774,2.6666667,2.6666667,1.0703492,1.4827389,0.6264375,0.91358274,0.55455637,0.20389564
30,0,0.1252844961599051,1.0,1.0,1.0430677,0.8984605,0.59031963,0.9087035,0.37916243,0.17916182
31,0,0.0888697811509169,1.6666666,1.6666666,1.11999,1.060042,1.7779063,1.0851495,0.43145812,0.29097936
32,0,0.1679289670214142,2.6666667,2.6666667,0.7045439,0.744208,1.0801224,0.36050314,0.14554518,0.105345346
33,0,0.1572106453268246,0.33333334,0.33333334,0.94493484,0.86120605,0.7455868,0.6197861,0.29504716,0.19751975
34,0,0.1345287810807574,1.6666666,1.6666666,1.136565,1.0776801,0.95087206,0.96605015,0.40460056,0.3165655
35,0,0.1760597923043593,1.0,1.0,0.7373603,0.82005405,0.8501595,0.40584192,0.23352988,0.12115276
36,0,0.1552145915329983,2.0,2.0,1.0346739,1.0389693,0.9135291,0.86909413,0.42925113,0.18229988
37,0,0.1445678204572006,-1.3333334,1.3333334,0.9805688,1.0437324,0.9541912,0.7079948,0.31302613,0.20491835
38,0,0.1222207886941619,-0.33333334,0.33333334,1.1601164,1.064141,1.1689287,0.95158577,0.42378777,0.2541642
39,0,0.162752851885732,0.6666667,0.6666667,0.95106643,0.8784325,0.9049693,0.63939965,0.32502368,0.16697663
40,0,0.1380454046581587,1.6666666,1.6666666,1.059893,1.0602304,1.0623145,0.8489368,0.46568805,0.22198589
41,0,0.1651866724637508,1.6666666,1.6666666,0.77326715,0.7540271,0.3433332,0.50913364,0.18849355,0.022498846
42,0,0.1771259490133626,2.0,2.0,0.6548448,0.68498427,0.37844726,0.3331898,0.13281362,0.048923433
43,0,0.0966261425961492,1.6666666,1.6666666,1.289752,1.0229132,1.4460793,1.0856034,0.44340116,0.15643325
44,0,0.1612992986121735,2.3333333,2.3333333,0.76380324,0.719449,0.48625124,0.46121082,0.16575162,0.059966523
45,0,0.0769348919012406,0.33333334,0.33333334,1.2302574,1.0721501,1.2918301,1.1963729,0.5088691,0.4576661
46,0,0.1460851565472617,-0.33333334,0.33333334,1.0544969,0.737378,0.9279715,0.89428633,0.2845282,0.16574952
47,0,0.0414773294573014,-0.6666667,0.6666667,1.3240813,0.86258835,1.0569052,1.4333262,0.45772672,0.2642328
48,0,0.1312106957810999,0.33333334,0.33333334,1.1198565,0.7661317,0.95431364,0.99701697,0.32542542,0.16651365
49,0,0.0929472124915329,-0.33333334,0.33333334,1.2771437,0.81902254,1.0319445,1.2493621,0.41180086,0.19571741
50,0,0.0650314333144773,0.33333334,0.33333334,1.2594849,0.81987965,1.2190517,1.3548467,0.42393512,0.292044
51,0,0.0132589044580245,0.6666667,0.6666667,1.3583132,1.2446154,1.2555088,1.4566725,0.6579001,0.26632386
52,0,0.1463871598410436,0.0,0.0,1.0821493,0.9573291,1.2616656,0.8187326,0.3581646,0.33961552
53,0,0.1442134966987659,0.0,0.0,0.9629652,0.8583373,1.294229,0.6810758,0.30191308,0.34294754
