run_name,model_type,epochs,hidden_dim,dropout,lr,n_heads,n_layers,batch_size,weight_decay,seed,return_code,best_valid_mae,test_mae,test_rmse,test_corr,result_json
gated_hd128_do0.1_lr0.0001_nh2_nl1_bs32_ep20_sd42,gated,20,128,0.1,0.0001,2,1,32,0.0001,42,0,0.6172508597373962,0.6231634020805359,0.8326759934425354,0.6668675934083323,grid_outputs\gated_hd128_do0.1_lr0.0001_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd128_do0.1_lr0.0003_nh2_nl1_bs32_ep20_sd42,gated,20,128,0.1,0.0003,2,1,32,0.0001,42,0,0.6006059050559998,0.6151962280273438,0.8230093717575073,0.6707774974491756,grid_outputs\gated_hd128_do0.1_lr0.0003_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd128_do0.2_lr0.0001_nh2_nl1_bs32_ep20_sd42,gated,20,128,0.2,0.0001,2,1,32,0.0001,42,0,0.6211445927619934,0.6325747966766357,0.8447609543800354,0.6662483023123306,grid_outputs\gated_hd128_do0.2_lr0.0001_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd128_do0.2_lr0.0003_nh2_nl1_bs32_ep20_sd42,gated,20,128,0.2,0.0003,2,1,32,0.0001,42,0,0.609626054763794,0.6225544810295105,0.8348804712295532,0.6693456271356392,grid_outputs\gated_hd128_do0.2_lr0.0003_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd256_do0.1_lr0.0001_nh2_nl1_bs32_ep20_sd42,gated,20,256,0.1,0.0001,2,1,32,0.0001,42,0,0.6105245351791382,0.6263798475265503,0.8354318737983704,0.6624988775353818,grid_outputs\gated_hd256_do0.1_lr0.0001_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd256_do0.1_lr0.0003_nh2_nl1_bs32_ep20_sd42,gated,20,256,0.1,0.0003,2,1,32,0.0001,42,0,0.6136698722839355,0.6252303719520569,0.8282692432403564,0.6674352534077088,grid_outputs\gated_hd256_do0.1_lr0.0003_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd256_do0.2_lr0.0001_nh2_nl1_bs32_ep20_sd42,gated,20,256,0.2,0.0001,2,1,32,0.0001,42,0,0.6120010018348694,0.6210347414016724,0.8275911211967468,0.6701165042277943,grid_outputs\gated_hd256_do0.2_lr0.0001_nh2_nl1_bs32_ep20_sd42\result_gated.json
gated_hd256_do0.2_lr0.0003_nh2_nl1_bs32_ep20_sd42,gated,20,256,0.2,0.0003,2,1,32,0.0001,42,0,0.6194849610328674,0.637836217880249,0.8520562052726746,0.6466555885761486,grid_outputs\gated_hd256_do0.2_lr0.0003_nh2_nl1_bs32_ep20_sd42\result_gated.json
cross_hd128_do0.1_lr0.0001_nh2_nl1_bs32_ep20_sd42,cross,20,128,0.1,0.0001,2,1,32,0.0001,42,0,0.6197844743728638,0.6370025873184204,0.8470614552497864,0.6462471058197574,grid_outputs\cross_hd128_do0.1_lr0.0001_nh2_nl1_bs32_ep20_sd42\result_cross.json
cross_hd128_do0.1_lr0.0001_nh2_nl2_bs32_ep20_sd42,cross,20,128,0.1,0.0001,2,2,32,0.0001,42,0,0.6082739233970642,0.6223247051239014,0.8284822106361389,0.6644556403462191,grid_outputs\cross_hd128_do0.1_lr0.0001_nh2_nl2_bs32_ep20_sd42\result_cross.json
cross_hd128_do0.1_lr0.0001_nh4_nl1_bs32_ep20_sd42,cross,20,128,0.1,0.0001,4,1,32,0.0001,42,0,0.6127077341079712,0.6348011493682861,0.8498000502586365,0.6467936470771188,grid_outputs\cross_hd128_do0.1_lr0.0001_nh4_nl1_bs32_ep20_sd42\result_cross.json
cross_hd128_do0.1_lr0.0001_nh4_nl2_bs32_ep20_sd42,cross,20,128,0.1,0.0001,4,2,32,0.0001,42,0,0.607183039188385,0.6056406497955322,0.8131617903709412,0.684515461507758,grid_outputs\cross_hd128_do0.1_lr0.0001_nh4_nl2_bs32_ep20_sd42\result_cross.json
cross_hd128_do0.1_lr0.0003_nh2_nl1_bs32_ep20_sd42,cross,20,128,0.1,0.0003,2,1,32,0.0001,42,0,0.6099542379379272,0.629073441028595,0.8309941291809082,0.6625934911163036,grid_outputs\cross_hd128_do0.1_lr0.0003_nh2_nl1_bs32_ep20_sd42\result_cross.json
cross_hd128_do0.1_lr0.0003_nh2_nl2_bs32_ep20_sd42,cross,20,128,0.1,0.0003,2,2,32,0.0001,42,0,0.6020945310592651,0.6237868070602417,0.8335744738578796,0.6604326281941616,grid_outputs\cross_hd128_do0.1_lr0.0003_nh2_nl2_bs32_ep20_sd42\result_cross.json
